17,544,Canada,CAD,34413.074432
24,672,Canada,CAD,42510.268416
3,211,Brazil,BRL,3660.136609
21,585,Canada,CAD,37006.70688
3,798,Canada,CAD,50480.943744
0,69,Spain,EUR,6314.181858
11,459,New Zealand,NZD,23907.282138000002
16,983,Brazil,BRL,17051.726477
22,178,United States,USD,14880.257634
15,830,Spain,EUR,75953.20206000001
22,873,New Zealand,NZD,45470.713086
18,731,Switzerland,CHF,68452.507411
14,976,United States,USD,81590.626128
22,20,Spain,EUR,1830.19764
4,313,Canada,CAD,19800.169663999997
1,881,Canada,CAD,55731.467968
5,80,Brazil,BRL,1387.72952
14,946,United States,USD,79082.717538
23,930,Switzerland,CHF,87087.32132999999
16,408,New Zealand,NZD,21250.917456
21,370,New Zealand,NZD,19271.66534
14,814,Spain,EUR,74489.043948
6,782,Spain,EUR,71560.727724
7,326,Switzerland,CHF,30527.383606
2,104,Canada,CAD,6578.970112
22,188,Spain,EUR,17203.857816
12,471,Canada,CAD,29795.143487999998
1,442,Brazil,BRL,7667.2055980000005
23,3,New Zealand,NZD,156.25674600000002
11,901,Spain,EUR,82450.403682
9,652,Spain,EUR,59664.44306400001
24,338,United States,USD,28255.770114
1,192,Canada,CAD,12145.790976
6,801,New Zealand,NZD,41720.551182
15,569,New Zealand,NZD,29636.696158000002
24,14,New Zealand,NZD,729.1981480000001
15,662,Brazil,BRL,11483.461778
23,866,Switzerland,CHF,81094.215346
9,389,United States,USD,32519.214717
21,456,New Zealand,NZD,23751.025392
12,219,Brazil,BRL,3798.909561
2,244,Spain,EUR,22328.411208
5,665,United States,USD,55591.973745
12,327,Brazil,BRL,5672.344413
6,427,Spain,EUR,39074.719614
8,177,Brazil,BRL,3070.351563
20,722,New Zealand,NZD,37605.790204000004
2,262,New Zealand,NZD,13646.422484
17,484,Spain,EUR,44290.782888
8,722,New Zealand,NZD,37605.790204000004
